Afghanistan,Afghanistan,Afghanistan
Albania,Albania,Albanie
Algeria,Algeria,Algérie
Andorra,Andorra,Andorre
Angola,Angola,Angola
Anguilla,Eel,Anguille
Antartide,Antarctica,Antarctique
Antigua e Barbuda,Antigua and Barbuda,Antigua-et-Barbuda
Antille Olandesi,Netherlands Antilles,Antilles néerlandaises
Arabia Saudita,Saudi Arabia,Arabie Saoudite
Argentina,Argentina,Argentine
Armenia,Armenia,Arménie
Aruba,Aruba,Aruba
Australia,Australia,Australie
Austria,Austria,L'Autriche
Azerbaijan,Azerbaijan,Azerbaïdjan
Bahamas,Bahamas,Bahamas
Bahrain,Bahrain,Bahreïn
Bangladesh,Bangladesh,Bengladesh
Barbados,Barbados,Barbade
Belgio,Belgium,Belgique
Belize,Belize,Bélize
Benin,Benin,Bénin
Bermuda,Bermuda,Bermudes
Bielorussia,Belarus,Biélorussie
Bhutan,Bhutan,Bhoutan
Bolivia,Bolivia,Bolivie
Bosnia Erzegovina,Bosnia Herzegovina,Bosnie-Herzégovine
Botswana,Botswana,Bostwana
Brasile,Brazil,Brésil
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam
Bulgaria,Bulgaria,Bulgarie
Burkina Faso,Burkina Faso,Burkina Faso
Burundi,Burundi,Burundi
Cambogia,Cambodia,Cambodge
Camerun,Cameroon,Cameroun
Canada,Canada,Canada
Capo Verde,Cape Verde,Cap-Vert
Ciad,Chad,Tchad
Cile,Chile,Chili
Cina,China,Chine
Cipro,Cyprus,Chypre
Citta del Vaticano,Vatican CITY,Cité du Vatican
Colombia,Colombia,Colombie
Comore,Comoros,Comores
Corea del Nord,North Korea,Corée du Nord
Corea del Sud,South Korea,Corée du Sud
Costa Rica,Costa Rica,Costa Rica
Costa d'Avorio,Ivory Coast,Côte d'Ivoire
Croazia,Croatia,Croatie
Cuba,Cuba,Cuba
Danimarca,Denmark,Danemark
Dominica,Dominica,Dominique
Ecuador,Ecuador,Equateur
Egitto,Egypt,Egypte
Eire,Eire,Irlande
El Salvador,El Salvador,Le Salvador
Emirati Arabi Uniti,United Arab Emirates,Emirats Arabes Unis
Eritrea,Eritrea,Érythrée
Estonia,Estonia,Estonie
Etiopia,Ethiopia,Ethiopie
Federazione Russa,Russian Federation,Fédération Russe
Fiji,Fiji,Fidji
Filippine,Philippines,Philippines
Finlandia,Finland,Finlande
Francia,France,La France
Gabon,Gabon,Gabon
Gambia,Gambia,Gambie
Georgia,Georgia,Géorgie
Germania,Germany,Allemagne
Ghana,Ghana,Ghana
Giamaica,Jamaica,Jamaïque
Giappone,Japan,Japon
Gibilterra,Gibraltar,Gibraltar
Gibuti,Djibouti,Djibouti
Giordania,Jordan,Jordan
Grecia,Greece,Grèce
Grenada,Grenada,Grenade
Groenlandia,Greenland,Groenland
Guadalupa,Guadeloupe,Guadeloupe
Guam,Guam,Guam
Guatemala,Guatemala,Guatemala
Guernsey,Guernsey,Guernesey
Guinea,Guinea,Guinée
Guinea-Bissau,Guinea-Bissau,Guinée-Bissau
Guinea Equatoriale,Equatorial Guinea,Guinée Équatoriale
Guyana,Guyana,Guyane
Guyana Francese,French Guiana,Guyane Française
Haiti,Haiti,Haïti
Honduras,Honduras,Honduras
Hong Kong,Hong Kong,Hong Kong
India,India,Inde
Indonesia,Indonesia,Indonésie
Iran,Iran,L'Iran
Iraq,Iraq,Irak
Isola di Bouvet,Bouvet Island,Île Bouvet
Isola di Natale,Christmas Island,L'île de noël
Isola Heard e Isole McDonald,Heard Island and McDonald Islands,Île Heard et îles McDonald
Isole Cayman,Cayman Islands,Îles Caïmans
Isole Cocos,Cocos Islands,Îles Cocos
Isole Cook,Cook Islands,les Îles Cook
Isole Falkland,Falkland Islands,les îles Falkland
Isole Faroe,Faroe Islands,Îles Féroé
Isole Marshall,Marshall Islands,Iles Marshall
Isole Marianne Settentrionali,Northern Mariana Islands,Îles Mariannes du Nord
Isole Minori degli Stati Uniti d'America,United States Minor Outlying Islands,Îles mineures éloignées des États-Unis
Isola Norfolk,Norfolk Island,l'ile de Norfolk
Isole Solomon,Solomon Islands,îles Salomon
Isole Turks e Caicos,Turks and Caicos Islands,îles Turques-et-Caïques
Isole Vergini Americane,US Virgin Islands,Îles Vierges américaines
Isole Vergini Britanniche,British Virgin Islands,Îles Vierges britanniques
Israele,Israel,Israël
Islanda,Iceland,Islande
Italia,Italy,Italie
Kazakhistan,Kazakhstan,Kazakhstan
Kenya,Kenya,Kenya
Kirghizistan,Kyrgyzstan,Kirghizistan
Kiribati,Kiribati,Kiribati
Kosovo,Kosovo,Kosovo
Kuwait,Kuwait,Koweit
Laos,Laos,Laos
Lettonia,Latvia,Lettonie
Lesotho,Lesotho,Lesotho
Libano,Lebanon,Liban
Liberia,Liberia,Libéria
Libia,Libya,Libye
Liechtenstein,Liechtenstein,Liechtenstein
Lituania,Lithuania,Lituanie
Lussemburgo,Luxembourg,Luxembourg
Macao,Macau,Macao
Macedonia,fruit salad,Macédoine
Madagascar,Madagascar,Madagascar
Malawi,Malawi,Malawi
Maldive,Maldives,Maldives
Malesia,Malaysia,Malaisie
Mali,Mali,Mali
Malta,Malta,Malte
Marocco,Morocco,Maroc
Martinica,Martinique,Martinique
Mauritania,Mauritania,Mauritanie
Maurizius,Maurizius,Maurice
Mayotte,Mayotte,Mayotte
Messico,Mexico,Mexique
Moldavia,Moldova,Moldavie
Monaco,Monk,Moine
Mongolia,Mongolia,Mongolie
Montenegro,Montenegro,Monténégro
Montserrat,Montserrat,Montserrat
Mozambico,Mozambique,Mozambique
Myanmar,Myanmar,Birmanie
Namibia,Namibia,Namibie
Nauru,Nauru,Nauru
Nepal,Nepal,Népal
Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Niger
Nigeria,Nigeria,Nigeria
Niue,Niue,Niué
Norvegia,Norway,Norvège
Nuova Caledonia,New Caledonia,Nouvelle Calédonie
Nuova Zelanda,New Zeland,Nouvelle Zélande
Oman,Oman,Oman
Paesi Bassi,Netherlands,Pays-Bas
Pakistan,Pakistan,Pakistan
Palau,Palau,Palaos
Panama,Panama,Panama
Papua Nuova Guinea,Papua New Guinea,Papouasie Nouvelle Guinée
Paraguay,Paraguay,Paraguay
Peru,Peru,Pérou
Pitcairn,Pitcairn,Pitcairn
Polinesia Francese,French Polynesia,Polynésie française
Polonia,Poland,Pologne
Portogallo,Portugal,le Portugal
Porto Rico,Puerto Rico,Porto Rico
Qatar,Qatar,Qatar
Regno Unito,United Kingdom,Royaume-Uni
Repubblica Ceca,Czech Republic,République Tchèque
Repubblica Centroafricana,Central African Republic,République centrafricaine
Repubblica del Congo,Republic of the Congo,République du Congo
Repubblica Democratica del Congo,Democratic Republic of Congo,République Démocratique du Congo
Repubblica Dominicana,Dominican Republic,République Dominicaine
Reunion,Reunion,Réunion
Romania,Romania,Roumanie
Ruanda,Rwanda,Rwanda
Sahara Occidentale,Western Sahara,Sahara occidental
Saint Kitts e Nevis,Saint Kitts and Nevis,Saint-Christophe-et-Niévès
Saint Pierre e Miquelon,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon
Saint Vincent e Grenadine,Saint Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines
Samoa,Samoa,Samoa
Samoa Americane,American Samoa,Samoa américaines
San Marino,San Marino,Saint Marin
Sant'Elena,Saint Helena,Sainte-Hélène
Santa Lucia,Saint Lucia,Sainte-Lucie
Sao Tome e Principe,Sao Tome and Principe,Sao Tomé et Principe
Senegal,Senegal,Sénégal
Serbia,Serbia,Serbie
Seychelles,Seychelles,les Seychelles
Sierra Leone,Sierra Leone,Sierra Leone
Singapore,Singapore,Singapour
Siria,Syria,Syrie
Slovacchia,Slovakia,Slovaquie
Slovenia,Slovenia,Slovénie
Somalia,Somalia,Somalie
Spagna,Spain,Espagne
Sri Lanka,Sri Lanka,Sri Lanka
Stati Federati della Micronesia,Federated States of Micronesia,États fédérés de Micronésie
Stati Uniti d'America,United States of America,les états-unis d'Amérique
Sud Africa,South Africa,Afrique du Sud
Sud Georgia e Isole Sandwich,South Georgia and the Sandwich Islands,Géorgie du Sud et îles Sandwich
Sudan,Sudan,Soudan
Suriname,Suriname,Suriname
Svalbard e Jan Mayen,Svalbard and Jan Mayen,Svalbard et Jan Mayen
Svezia,Sweden,Suède
Svizzera,Swiss,Suisse
Swaziland,Swaziland,Swaziland
Tagikistan,Tajikistan,Tadjikistan
Tailandia,Thailand,Thaïlande
Taiwan,Taiwan,Taïwan
Tanzania,Tanzania,Tanzanie
Territori Britannici dell'Oceano Indiano,British Indian Ocean Territories,Territoires britanniques de l'océan Indien
Territori Francesi del Sud,Southern French Territories,Territoires du sud de la France
Territori Palestinesi Occupati,Occupied Palestinian Territories,Territoires palestiniens occupés
Timor Est,East Timor,Timor oriental
Togo,Togo,Aller
Tokelau,Tokelau,Tokélaou
Tonga,Tonga,Tonga
Trinidad e Tobago,Trinidad and Tobago,Trinité-et-Tobago
Tunisia,Tunisia,Tunisie
Turchia,Turkey,Turquie
Turkmenistan,Turkmenistan,Turkménistan
Tuvalu,Tuvalu,Tuvalu
Ucraina,Ukraine,Ukraine
Uganda,Uganda,Ouganda
Ungheria,Hungary,Hongrie
Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Ouzbékistan
Vanuatu,Vanuatu,Vanuatu
Venezuela,Venezuela,Venezuela
Vietnam,Vietnam,Viêt Nam
Wallis e Futuna,Wallis and Futuna,Wallis et Futuna
Yemen,Yemen,Yémen
Zambia,Zambia,Zambie
Zimbabwe,Zimbabwe,Zimbabwe
