COVID,,,GEOJSON,
Afghanistan,13999,,Afghanistan,Afghanistan
Albania,10636,,Albania,Albania
Algeria,80025,,Algeria,Algeria
Andorra,1173,,Andorra,
Angola,415,,Angola,Angola
Anguilla,14,,Anguilla,
Antigua and Barbuda,571,,Antigua and Barbuda,
Argentina,249436,,Argentina,Argentina
Armenia,29600,,Armenia,Armenia
Aruba,148,,Aruba,
Australia,190282,,Australia,Australia
Austria,342114,,Austria,Austria
Azerbaijan,50896,,Azerbaijan,Azerbaijan
Bahamas,6815,,Bahamas,"Bahamas, The"
Bahrain,60081,,Bahrain,
Bangladesh,221163,,Bangladesh,Bangladesh
Barbados,11992,,Barbados,
Belarus,7440,,Belarus,Belarus
Belgium,1117533,,Belgium,Belgium
Belize,4717,,Belize,Belize
Benin,829,,Benin,Benin
Bermuda,272,,Bermuda,
Bhutan,2212,,Bhutan,Bhutan
Bolivia,117653,,Bolivia,Bolivia
Bosnia and Herzegovina,154033,,Bosnia and Herz.,Bosnia and Herzegovina
Botswana,3212,,Botswana,Botswana
Brazil,3042552,,Brazil,Brazil
Brunei,2961,,Brunei,Brunei
Bulgaria,261909,,Bulgaria,Bulgaria
Burkina Faso,52,,Burkina Faso,Burkina Faso
Burundi,36945,,Burundi,Burundi
Cabo Verde,110,,Cabo Verde,
Cambodia,1033,,Cambodia,Cambodia
Cameroon,9719,,Cameroon,Cameroon
Canada,146697,,Canada,Canada
CAR,7141,,Central African Rep.,Central African Republic
Caribbean Netherlands,228,,Caribbean Netherlands,
Cayman Islands,9118,,Cayman Islands,
Chad,2150,,Chad,Chad
Channel Islands,3203,,Channel Islands,
Chile,669821,,Chile,Chile
China,1428,,China,China
Colombia,61630,,Colombia,Colombia
Comoros,157,,Comoros,
Congo,3307,,Congo,"Congo, Rep."
Costa Rica,154622,,Costa Rica,Costa Rica
Croatia,46346,,Croatia,Croatia
Cuba,5575,,Cuba,Cuba
Cura&ccedil;ao,1194,,Curaçao,
Cyprus,158326,,Cyprus,Cyprus
Czechia,316076,,Czech Rep.,Czech Republic
Denmark,579623,,Denmark,Denmark
Djibouti,23,,Djibouti,Djibouti
Dominica,931,,Dominica,
Dominican Republic,5538,,Dominican Rep.,Dominican Republic
DRC,33497,,Dem. Rep. Congo,"Congo, Dem. Rep."
Ecuador,,,Ecuador,Ecuador
Egypt,43288,,Egypt,"Egypt, Arab Rep."
El Salvador,10807,,El Salvador,El Salvador
Equatorial Guinea,125,,Eq. Guinea,Equatorial Guinea
Eritrea,124,,Eritrea,Eritrea
Estonia,109836,,Estonia,Estonia
Eswatini,261,,Swaziland,Swaziland
Ethiopia,51133,,Ethiopia,Ethiopia
Faeroe Islands,18573,,Faeroe Islands,
Falkland Islands,,,Falkland Is.,Falkland Islands
Fiji,1050,,Fiji,Fiji
Finland,511446,,Finland,Finland
France,5370470,,France,France
French Guiana,65450,,French Guiana,
Gabon,3589,,Gabon,Gabon
Gambia,85,,Gambia,"Gambia, The"
Georgia,228179,,Georgia,Georgia
Germany,3289706,,Germany,Germany
Ghana,1010,,Ghana,Ghana
Gibraltar,1217,,Gibraltar,
Greece,219176,,Greece,Greece
Greenland,8565,,Greenland,Greenland
Grenada,549,,Grenada,
Guadeloupe,116476,,Guadeloupe,
Guatemala,48097,,Guatemala,Guatemala
Guinea,3218,,Guinea,Guinea
Guinea-Bissau,789,,Guinea-Bissau,Guinea-Bissau
Guyana,3144,,Guyana,Guyana
Haiti,4103,,Haiti,Haiti
Honduras,264481,,Honduras,Honduras
Hong Kong,5346,,Hong Kong,
Hungary,231613,,Hungary,Hungary
Iceland,9971,,Iceland,Iceland
India,697771,,India,India
Indonesia,288186,,Indonesia,Indonesia
Iran,359231,,Iran,"Iran, Islamic Rep."
Iraq,70253,,Iraq,Iraq
Ireland,214885,,Ireland,Ireland
Isle of Man,271,,Isle of Man,
Israel,326756,,Israel,Israel
Italy,1813274,,Italy,Italy
Ivory Coast,1407,,Côte d'Ivoire,Côte d'Ivoire
Jamaica,51662,,Jamaica,Jamaica
Japan,871577,,Japan,Japan
Jordan,187347,,Jordan,Jordan
Kazakhstan,71949,,Kazakhstan,Kazakhstan
Kenya,16403,,Kenya,Kenya
Kiribati,2080,,Kiribati,
Kosovo,,,Kosovo,Kosovo
Kuwait,52951,,Kuwait,Kuwait
Kyrgyzstan,4946,,Kyrgyzstan,Kyrgyz Republic
Laos,129763,,Lao PDR,Lao PDR
Latvia,124367,,Latvia,Latvia
Lebanon,306389,,Lebanon,Lebanon
Lesotho,8864,,Lesotho,Lesotho
Liberia,1321,,Liberia,Liberia
Libya,47498,,Libya,Libya
Liechtenstein,506,,Liechtenstein,
Lithuania,106418,,Lithuania,Lithuania
Luxembourg,24733,,Luxembourg,Luxembourg
Madagascar,5440,,Madagascar,Madagascar
Malawi,10813,,Malawi,Malawi
Malaysia,107883,,Malaysia,Malaysia
Maldives,16221,,Maldives,
Mali,2426,,Mali,Mali
Malta,2353,,Malta,Malta
Martinique,100340,,Martinique,
Mauritania,472,,Mauritania,Mauritania
Mauritius,989,,Mauritius,
Mayotte,33405,,Mayotte,
Mexico,475686,,Mexico,Mexico
Moldova,42616,,Moldova,Moldova
Monaco,277,,Monaco,
Mongolia,137660,,Mongolia,Mongolia
Montenegro,3658,,Montenegro,Montenegro
Morocco,21569,,Morocco,Morocco
Mozambique,4420,,Mozambique,Mozambique
Myanmar,7761,,Myanmar,Myanmar
