COVID,,,GEOJSON,
Afghanistan,13919,,Afghanistan,Afghanistan
Albania,7980,,Albania,Albania
Algeria,80451,,Algeria,Algeria
Andorra,731,,Andorra,
Angola,229,,Angola,Angola
Anguilla,19,,Anguilla,
Antigua and Barbuda,582,,Antigua and Barbuda,
Argentina,161032,,Argentina,Argentina
Armenia,21054,,Armenia,Armenia
Aruba,62,,Aruba,
Australia,196276,,Australia,Australia
Austria,306869,,Austria,Austria
Azerbaijan,46935,,Azerbaijan,Azerbaijan
Bahamas,6647,,Bahamas,Bahamas, The
Bahrain,50500,,Bahrain,
Bangladesh,186921,,Bangladesh,Bangladesh
Barbados,5215,,Barbados,
Belarus,8860,,Belarus,Belarus
Belgium,1036708,,Belgium,Belgium
Belize,3224,,Belize,Belize
Benin,883,,Benin,Benin
Bermuda,206,,Bermuda,
Bhutan,2383,,Bhutan,Bhutan
Bolivia,107749,,Bolivia,Bolivia
Bosnia and Herzegovina,158244,,Bosnia and Herz.,Bosnia and Herzegovina
Botswana,3941,,Botswana,Botswana
Brazil,2772602,,Brazil,Brazil
Brunei,7015,,Brunei,Brunei
Bulgaria,257413,,Bulgaria,Bulgaria
Burkina Faso,55,,Burkina Faso,Burkina Faso
Burundi,37091,,Burundi,Burundi
Cabo Verde,76,,Cabo Verde,
Cambodia,1928,,Cambodia,Cambodia
Cameroon,10710,,Cameroon,Cameroon
Canada,134098,,Canada,Canada
CAR,7215,,Central African Rep.,Central African Republic
Caribbean Netherlands,178,,Caribbean Netherlands,
Cayman Islands,9118,,Cayman Islands,
Chad,2150,,Chad,Chad
Channel Islands,2930,,Channel Islands,
Chile,801050,,Chile,Chile
China,1398,,China,China
Colombia,44890,,Colombia,Colombia
Comoros,154,,Comoros,
Congo,3321,,Congo,Congo, Rep.
Costa Rica,165746,,Costa Rica,Costa Rica
Croatia,29308,,Croatia,Croatia
Cuba,4383,,Cuba,Cuba
Cura&ccedil;ao,750,,Curaçao,
Cyprus,170525,,Cyprus,Cyprus
Czechia,197477,,Czech Rep.,Czech Republic
Denmark,577979,,Denmark,Denmark
Djibouti,11,,Djibouti,Djibouti
Dominica,844,,Dominica,
Dominican Republic,2644,,Dominican Rep.,Dominican Republic
DRC,33547,,Dem. Rep. Congo,Congo, Dem. Rep.
Ecuador,,,Ecuador,Ecuador
Egypt,45244,,Egypt,Egypt, Arab Rep.
El Salvador,19905,,El Salvador,El Salvador
Equatorial Guinea,75,,Eq. Guinea,Equatorial Guinea
Eritrea,60,,Eritrea,Eritrea
Estonia,116277,,Estonia,Estonia
Eswatini,205,,Swaziland,Swaziland
Ethiopia,51023,,Ethiopia,Ethiopia
Faeroe Islands,22293,,Faeroe Islands,
Falkland Islands,,,Falkland Is.,Falkland Islands
Fiji,1002,,Fiji,Fiji
Finland,538594,,Finland,Finland
France,4146609,,France,France
French Guiana,65710,,French Guiana,
Gabon,2922,,Gabon,Gabon
Gambia,85,,Gambia,Gambia, The
Georgia,176045,,Georgia,Georgia
Germany,3582018,,Germany,Germany
Ghana,524,,Ghana,Ghana
Gibraltar,848,,Gibraltar,
Greece,214124,,Greece,Greece
Greenland,8658,,Greenland,Greenland
Grenada,368,,Grenada,
Guadeloupe,116476,,Guadeloupe,
Guatemala,47392,,Guatemala,Guatemala
Guinea,3209,,Guinea,Guinea
Guinea-Bissau,810,,Guinea-Bissau,Guinea-Bissau
Guyana,1379,,Guyana,Guyana
Haiti,4129,,Haiti,Haiti
Honduras,266867,,Honduras,Honduras
Hong Kong,13214,,Hong Kong,
Hungary,210285,,Hungary,Hungary
Iceland,18393,,Iceland,Iceland
India,370209,,India,India
Indonesia,406025,,Indonesia,Indonesia
Iran,374660,,Iran,Iran, Islamic Rep.
Iraq,56558,,Iraq,Iraq
Ireland,162835,,Ireland,Ireland
Isle of Man,220,,Isle of Man,
Israel,238200,,Israel,Israel
Italy,1550410,,Italy,Italy
Ivory Coast,1415,,Côte d'Ivoire,Côte d'Ivoire
Jamaica,50795,,Jamaica,Jamaica
Japan,857537,,Japan,Japan
Jordan,188981,,Jordan,Jordan
Kazakhstan,48064,,Kazakhstan,Kazakhstan
Kenya,14019,,Kenya,Kenya
Kiribati,2088,,Kiribati,
Kosovo,,,Kosovo,Kosovo
Kuwait,32371,,Kuwait,Kuwait
Kyrgyzstan,4011,,Kyrgyzstan,Kyrgyz Republic
Laos,131427,,Lao PDR,Lao PDR
Latvia,140939,,Latvia,Latvia
Lebanon,331086,,Lebanon,Lebanon
Lesotho,8622,,Lesotho,Lesotho
Liberia,1323,,Liberia,Liberia
Libya,40921,,Libya,Libya
Liechtenstein,372,,Liechtenstein,
Lithuania,100450,,Lithuania,Lithuania
